id,document,summary
1872,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1873,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1874,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1875,John went to the store to buy some groceries.,John bought groceries.
1876,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1877,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1878,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1879,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1880,John went to the store to buy some groceries.,John bought groceries.
1881,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1882,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1883,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1884,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1885,John went to the store to buy some groceries.,John bought groceries.
1886,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1887,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1888,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1889,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1890,John went to the store to buy some groceries.,John bought groceries.
1891,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1892,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1893,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1894,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1895,John went to the store to buy some groceries.,John bought groceries.
1896,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1897,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1898,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1899,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1900,John went to the store to buy some groceries.,John bought groceries.
1901,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1902,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1903,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1904,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1905,John went to the store to buy some groceries.,John bought groceries.
1906,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1907,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1908,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1909,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1910,John went to the store to buy some groceries.,John bought groceries.
1911,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1912,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1913,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1914,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1915,John went to the store to buy some groceries.,John bought groceries.
1916,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1917,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1918,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1919,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1920,John went to the store to buy some groceries.,John bought groceries.
1921,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1922,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1923,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1924,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1925,John went to the store to buy some groceries.,John bought groceries.
1926,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1927,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1928,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1929,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1930,John went to the store to buy some groceries.,John bought groceries.
1931,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1932,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1933,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1934,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1935,John went to the store to buy some groceries.,John bought groceries.
1936,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1937,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1938,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1939,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1940,John went to the store to buy some groceries.,John bought groceries.
1941,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1942,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1943,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1944,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1945,John went to the store to buy some groceries.,John bought groceries.
1946,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1947,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1948,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1949,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1950,John went to the store to buy some groceries.,John bought groceries.
1951,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1952,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1953,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1954,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1955,John went to the store to buy some groceries.,John bought groceries.
1956,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1957,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1958,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1959,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1960,John went to the store to buy some groceries.,John bought groceries.
1961,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1962,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1963,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1964,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1965,John went to the store to buy some groceries.,John bought groceries.
1966,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1967,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1968,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1969,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1970,John went to the store to buy some groceries.,John bought groceries.
1971,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1972,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1973,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1974,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1975,John went to the store to buy some groceries.,John bought groceries.
1976,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1977,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1978,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1979,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1980,John went to the store to buy some groceries.,John bought groceries.
1981,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1982,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1983,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1984,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1985,John went to the store to buy some groceries.,John bought groceries.
1986,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1987,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1988,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1989,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1990,John went to the store to buy some groceries.,John bought groceries.
1991,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1992,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1993,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1994,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1995,John went to the store to buy some groceries.,John bought groceries.
1996,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1997,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1998,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1999,Machine learning is a subset of artificial intelligence.,ML is part of AI.
2000,John went to the store to buy some groceries.,John bought groceries.
